spanner_method;dim;n_points;epsilon;point_method;n_edges;sparseness
quasi;3;200;0.01;get_exponential_points;4746;0.2384924623115578
greedy;3;200;0.1;get_points;2532;0.1272361809045226
random;3;200;0.1;get_points;7919;0.3979396984924623
quasi;3;200;0.1;get_points;3534;0.17758793969849246
greedy;3;200;0.1;get_uniform_points;2479;0.12457286432160804
random;3;200;0.1;get_uniform_points;7882;0.39608040201005024
quasi;3;200;0.1;get_uniform_points;3556;0.17869346733668343
greedy;3;200;0.1;get_exponential_points;831;0.041758793969849245
random;3;200;0.1;get_exponential_points;3097;0.15562814070351758
quasi;3;200;0.1;get_exponential_points;1209;0.0607537688442211
greedy;3;200;0.2;get_exponential_points;564;0.02834170854271357
random;3;200;0.2;get_exponential_points;2448;0.12301507537688443
quasi;3;200;0.2;get_exponential_points;843;0.04236180904522613
greedy;3;200;0.2;get_uniform_points;1361;0.06839195979899497
random;3;200;0.2;get_uniform_points;5619;0.2823618090452261
quasi;3;200;0.2;get_uniform_points;1992;0.10010050251256282
greedy;3;200;0.2;get_points;1437;0.07221105527638191
random;3;200;0.2;get_points;5738;0.28834170854271357
quasi;3;200;0.2;get_points;2165;0.10879396984924623
greedy;3;200;0.5;get_uniform_points;634;0.03185929648241206
random;3;200;0.5;get_uniform_points;3261;0.16386934673366835
quasi;3;200;0.5;get_uniform_points;950;0.04773869346733668
greedy;3;200;0.5;get_exponential_points;301;0.015125628140703517
random;3;200;0.5;get_exponential_points;1332;0.06693467336683417
quasi;3;200;0.5;get_exponential_points;417;0.020954773869346733
greedy;3;200;0.01;get_uniform_points;10547;0.53
random;3;200;0.01;get_uniform_points;15759;0.7919095477386935
quasi;3;200;0.01;get_uniform_points;12494;0.6278391959798995
greedy;3;200;0.5;get_points;647;0.032512562814070355
random;3;200;0.5;get_points;3383;0.17
quasi;3;200;0.5;get_points;1006;0.05055276381909548
greedy;3;200;0.01;get_points;10548;0.5300502512562814
random;3;200;0.01;get_points;15688;0.7883417085427136
quasi;3;200;0.01;get_points;12154;0.6107537688442211
greedy;3;200;2.0;get_exponential_points;208;0.010452261306532663
random;3;200;2.0;get_exponential_points;691;0.03472361809045226
quasi;3;200;2.0;get_exponential_points;240;0.012060301507537688
greedy;3;200;2.0;get_points;280;0.01407035175879397
random;3;200;2.0;get_points;1006;0.05055276381909548
quasi;3;200;2.0;get_points;349;0.017537688442211055
greedy;3;200;2.0;get_uniform_points;281;0.014120603015075377
random;3;200;2.0;get_uniform_points;1110;0.05577889447236181
quasi;3;200;2.0;get_uniform_points;351;0.01763819095477387
greedy;3;400;0.1;get_points;5704;0.07147869674185464
random;3;400;0.1;get_points;24086;0.3018295739348371
quasi;3;400;0.1;get_points;8723;0.10931077694235589
greedy;3;400;0.1;get_uniform_points;5617;0.07038847117794486
random;3;400;0.1;get_uniform_points;24223;0.30354636591478695
quasi;3;400;0.1;get_uniform_points;8152;0.10215538847117794
greedy;3;400;0.01;get_exponential_points;8511;0.10665413533834586
random;3;400;0.01;get_exponential_points;20923;0.26219298245614037
quasi;3;400;0.01;get_exponential_points;12085;0.15144110275689224
greedy;3;400;0.1;get_exponential_points;1962;0.024586466165413535
random;3;400;0.1;get_exponential_points;8728;0.1093734335839599
quasi;3;400;0.1;get_exponential_points;2911;0.03647869674185464
greedy;3;400;0.2;get_uniform_points;2987;0.037431077694235586
random;3;400;0.2;get_uniform_points;16127;0.20209273182957393
quasi;3;400;0.2;get_uniform_points;4540;0.056892230576441105
greedy;3;400;0.2;get_exponential_points;1223;0.015325814536340852
random;3;400;0.2;get_exponential_points;6288;0.078796992481203
quasi;3;400;0.2;get_exponential_points;1839;0.023045112781954886
greedy;3;400;0.2;get_points;3155;0.03953634085213033
random;3;400;0.2;get_points;16613;0.20818295739348372
quasi;3;400;0.2;get_points;4779;0.05988721804511278
greedy;3;400;0.5;get_exponential_points;668;0.008370927318295739
random;3;400;0.5;get_exponential_points;3526;0.04418546365914787
quasi;3;400;0.5;get_exponential_points;926;0.011604010025062656
greedy;3;400;0.5;get_points;1390;0.017418546365914788
random;3;400;0.5;get_points;8885;0.11134085213032581
quasi;3;400;0.5;get_points;2149;0.02692982456140351
greedy;3;400;2.0;get_points;577;0.007230576441102757
random;3;400;2.0;get_points;2775;0.03477443609022556
quasi;3;400;2.0;get_points;730;0.009147869674185464
greedy;3;400;0.5;get_uniform_points;1327;0.01662907268170426
random;3;400;0.5;get_uniform_points;8838;0.11075187969924812
quasi;3;400;0.5;get_uniform_points;2015;0.02525062656641604
greedy;4;50;0.01;get_points;1192;0.9730612244897959
random;4;50;0.01;get_points;1215;0.9918367346938776
quasi;4;50;0.01;get_points;1201;0.9804081632653061
greedy;4;50;0.01;get_uniform_points;1184;0.966530612244898
random;4;50;0.01;get_uniform_points;1208;0.9861224489795918
quasi;4;50;0.01;get_uniform_points;1196;0.976326530612245
greedy;4;50;0.01;get_exponential_points;571;0.4661224489795918
random;4;50;0.01;get_exponential_points;818;0.6677551020408163
quasi;4;50;0.01;get_exponential_points;702;0.5730612244897959
greedy;4;50;0.1;get_points;686;0.56
random;4;50;0.1;get_points;969;0.7910204081632654
quasi;4;50;0.1;get_points;780;0.636734693877551
