Dimension;Epsilon;Npoints;point_gen_method;query_method;MinFraction;MaxFraction;AvgFraction;MinNumberOfDistances;MaxNumberOfDistances;AvgNumberOfDistances
5;0.1;500;unif;query_2;0.004;0.006;0.004200000000000001;2;3;2.1
5;0.5;500;normal;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
5;0.5;500;unif;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
5;0.1;500;exp;query_1;0.012;0.028;0.0236;6;14;11.8
5;0.5;500;normal;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
5;0.5;500;unif;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
5;0.01;500;unif;query_2;0.028;0.072;0.047;14;36;23.5
5;0.1;500;exp;query_2;0.008;0.022;0.016399999999999998;4;11;8.2
5;0.5;500;exp;query_1;0.012;0.03;0.019200000000000002;6;15;9.6
5;0.001;500;unif;query_2;0.036;0.112;0.09140000000000001;18;56;45.7
5;0.5;500;exp;query_2;0.008;0.02;0.0156;4;10;7.8
5;0.001;500;unif;query_1;0.046;0.098;0.0674;23;49;33.7
5;0.001;500;normal;query_2;0.04;0.144;0.09480000000000001;20;72;47.4
10;0.01;500;normal;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
10;0.01;500;unif;query_1;0.004;0.006;0.0048000000000000004;2;3;2.4
10;0.001;500;exp;query_2;0.012;0.036;0.02;6;18;10.0
10;0.001;500;exp;query_1;0.012;0.036;0.0224;6;18;11.2
10;0.01;500;normal;query_2;0.012;0.072;0.0306;6;36;15.3
10;0.001;500;normal;query_1;0.032;0.08;0.058199999999999995;16;40;29.1
10;0.01;500;exp;query_1;0.01;0.036;0.0202;5;18;10.1
10;0.1;500;normal;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
10;0.01;500;exp;query_2;0.008;0.034;0.0182;4;17;9.1
10;0.1;500;normal;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
10;0.1;500;unif;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
10;0.1;500;unif;query_2;0.004;0.006;0.004200000000000001;2;3;2.1
10;0.1;500;exp;query_1;0.008;0.026;0.0172;4;13;8.6
10;0.5;500;normal;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
10;0.5;500;normal;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
10;0.1;500;exp;query_2;0.012;0.036;0.0228;6;18;11.4
10;0.5;500;unif;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
10;0.5;500;unif;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
10;0.5;500;exp;query_1;0.006;0.03;0.0174;3;15;8.7
10;0.5;500;exp;query_2;0.012;0.02;0.016000000000000004;6;10;8.0
10;0.01;500;unif;query_2;0.05;0.218;0.11780000000000002;25;109;58.9
20;0.001;500;exp;query_1;0.014;0.036;0.022799999999999997;7;18;11.4
20;0.001;500;normal;query_1;0.056;0.232;0.1576;28;116;78.8
10;0.001;500;unif;query_1;0.08;0.24;0.17779999999999999;40;120;88.9
20;0.01;500;normal;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
10;0.001;500;normal;query_2;0.158;0.304;0.22999999999999998;79;152;115.0
20;0.001;500;exp;query_2;0.01;0.036;0.025799999999999997;5;18;12.9
20;0.01;500;unif;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
20;0.01;500;exp;query_1;0.004;0.038;0.022399999999999996;2;19;11.2
20;0.01;500;exp;query_2;0.01;0.036;0.0194;5;18;9.7
20;0.1;500;normal;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
20;0.1;500;normal;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
20;0.1;500;unif;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
20;0.1;500;unif;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
10;0.001;500;unif;query_2;0.136;0.364;0.2586;68;182;129.3
20;0.01;500;normal;query_2;0.004;0.188;0.0496;2;94;24.8
20;0.5;500;normal;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
20;0.5;500;normal;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
20;0.1;500;exp;query_1;0.008;0.034;0.0186;4;17;9.3
20;0.5;500;unif;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
20;0.1;500;exp;query_2;0.01;0.044;0.021799999999999996;5;22;10.9
